id,review,sentiment,review_length,word_count
458,Arrived damaged and the company refused to help. Disgraceful service.,negative,69,10
459,Appalling quality control. Would not recommend to anyone.,negative,57,8
460,Terrible movie. Waste of two hours. The plot made no sense at all.,negative,66,13
461,Awful acting and a storyline that went nowhere. Very disappointing.,negative,67,10
462,Brilliant from start to finish. The pacing was perfect.,positive,55,9
463,The plot was acceptable but the ending felt a bit rushed.,neutral,57,11
464,Five stars all round. Fast shipping and perfect condition.,positive,58,9
465,The quality is acceptable. Met my basic requirements.,neutral,53,8
466,The chemistry between the lead actors was electric. Very entertaining.,positive,70,10
467,The quality is amazing for the price. Very impressed.,positive,53,9
468,Brilliant product. Does exactly what it says on the tin.,positive,56,10
469,Average experience. Would not go out of my way to recommend.,neutral,60,11
470,Returned immediately. Complete waste of money.,negative,46,6
471,Decent enough. I have seen better but also much worse.,neutral,54,10
472,Exactly what I needed. Works flawlessly. Very satisfied.,positive,56,8
473,A complete disaster from beginning to end. Hugely disappointing.,negative,64,9
474,Absolutely love this! It works perfectly and looks great.,positive,57,9
475,Heartwarming and funny in equal measure. A perfect family film.,positive,63,10
476,Returned immediately. Complete waste of money.,negative,46,6
477,I was completely captivated from the opening scene to the final credits.,positive,72,12
478,Super fast delivery and the item was even better than expected.,positive,63,11
479,Nothing special but a passable way to spend an evening.,neutral,55,10
480,The characters were flat and the story was painfully slow.,negative,58,10
481,One of the best films I have seen in years. Highly recommend to everyone.,positive,73,14
482,It is alright. Middling quality but serves its purpose.,neutral,55,9
483,"Wonderful script, great acting, and a story that stays with you long after.",positive,75,13
484,The special effects were cheap and the dialogue was cringeworthy.,negative,65,10
485,"Satisfactory purchase. Could have been better, could have been worse.",neutral,69,10
486,A feel-good movie that left me smiling for days. Highly enjoyable.,positive,66,11
487,I was blown away by the special effects and the emotional depth of the story.,positive,77,15
488,Returned immediately. Complete waste of money.,negative,46,6
489,Awful acting and a storyline that went nowhere. Very disappointing.,negative,67,10
490,Incredible performance by the entire cast. Loved every minute of it.,positive,68,11
491,Functional and affordable. That is about all there is to say.,neutral,61,11
492,Exceptional storytelling with a message that really resonates.,positive,62,8
493,"Excellent quality, very happy with my purchase. Will buy again.",positive,63,10
494,Some interesting ideas that were not fully explored. Just okay.,neutral,63,10
495,The film had potential but did not fully deliver on its promise.,neutral,64,12
496,Do not buy this. It is a scam. The quality is shocking.,negative,55,12
497,Terrible quality. Looks nothing like the photos. Very disappointed.,negative,67,9
498,Worst purchase ever. Cheap materials and poor craftsmanship.,negative,60,8
499,Not worth a single penny. Broke on first use.,negative,45,9
500,Does the job adequately. Nothing exceptional to report.,neutral,55,8
501,Heartwarming and funny in equal measure. A perfect family film.,positive,63,10
502,"Gets the job done. No more, no less.",neutral,36,8
503,Terrible quality. Looks nothing like the photos. Very disappointed.,negative,67,9
504,Worst purchase ever. Cheap materials and poor craftsmanship.,negative,60,8
505,It is fine. Arrived on time and works as expected.,neutral,50,10
506,Brilliant product. Does exactly what it says on the tin.,positive,56,10
507,Misleading description. The product is nothing like what was shown.,negative,67,10
508,Amazing cinematography and a brilliant storyline. A must-watch!,positive,63,8
509,A feel-good movie that left me smiling for days. Highly enjoyable.,positive,66,11
510,I was blown away by the special effects and the emotional depth of the story.,positive,77,15
511,Outstanding customer service and a top-quality product.,positive,55,7
512,Not particularly memorable but not offensive either.,neutral,52,7
513,The film had potential but did not fully deliver on its promise.,neutral,64,12
514,Dreadful. Painful to sit through. Avoid at all costs.,negative,53,9
515,The product is okay. Does the job but nothing more.,neutral,51,10
516,Outstanding customer service and a top-quality product.,positive,55,7
517,"An ordinary product. Nothing to complain about, nothing to rave about.",neutral,70,11
518,Boring and predictable. I nearly fell asleep halfway through.,negative,61,9
519,Returned immediately. Complete waste of money.,negative,46,6
520,The characters were so well developed. I felt every emotion with them.,positive,70,12
521,Dreadful. Painful to sit through. Avoid at all costs.,negative,53,9
522,Great product! Works exactly as described and arrived quickly.,positive,62,9
523,I want my money back. This movie was absolutely dreadful.,negative,57,10
524,The product is okay. Does the job but nothing more.,neutral,51,10
525,Cheap and nasty. Looks terrible in real life.,negative,45,8
526,A feel-good movie that left me smiling for days. Highly enjoyable.,positive,66,11
527,Not bad for the money. Neutral experience overall.,neutral,50,8
528,Five stars all round. Fast shipping and perfect condition.,positive,58,9
529,The product is okay. Does the job but nothing more.,neutral,51,10
530,The plot was acceptable but the ending felt a bit rushed.,neutral,57,11
531,Absolute rubbish. Stopped working after one week.,negative,49,7
532,Nothing made sense in this film. Very frustrating to watch.,negative,59,10
533,I was bored within the first 10 minutes. It never got better.,negative,61,12
534,Brilliant from start to finish. The pacing was perfect.,positive,55,9
535,This film restored my faith in Hollywood. Simply outstanding.,positive,61,9
536,Utterly forgettable and pointless. A waste of everyone's talent.,negative,64,9
537,Very poor quality. Fell apart immediately. Total disappointment.,negative,64,8
538,Not particularly memorable but not offensive either.,neutral,52,7
539,I want my money back. This movie was absolutely dreadful.,negative,57,10
540,A standard entry in the genre. Nothing to get excited about.,neutral,60,11
541,Very poor quality. Fell apart immediately. Total disappointment.,negative,64,8
542,"An ordinary product. Nothing to complain about, nothing to rave about.",neutral,70,11
543,A middle-of-the-road film. Neither impressive nor terrible.,neutral,59,7
544,Heartwarming and funny in equal measure. A perfect family film.,positive,63,10
545,Not bad for the money. Neutral experience overall.,neutral,50,8
546,I was bored within the first 10 minutes. It never got better.,negative,61,12
547,Arrived damaged and the company refused to help. Disgraceful service.,negative,69,10
548,Terrible quality. Looks nothing like the photos. Very disappointed.,negative,67,9
549,The best movie of the year without a doubt. Stunning visuals.,positive,61,11
550,Average all round. A solid three-star experience.,neutral,49,7
551,Absolutely love this! It works perfectly and looks great.,positive,57,9
552,This film exceeded all my expectations. Beautiful and moving.,positive,61,9
553,Brilliant product. Does exactly what it says on the tin.,positive,56,10
554,Great product! Works exactly as described and arrived quickly.,positive,62,9
555,Does the job adequately. Nothing exceptional to report.,neutral,55,8
556,The quality is amazing for the price. Very impressed.,positive,53,9
557,Not bad for the money. Neutral experience overall.,neutral,50,8
558,"Terrible screenplay, wooden acting, and a plot full of holes.",negative,61,10
559,Best purchase I have made this year. Highly recommend.,positive,54,9
560,This film exceeded all my expectations. Beautiful and moving.,positive,61,9
561,Worst purchase ever. Cheap materials and poor craftsmanship.,negative,60,8
562,Awful product. Broke after two days. Total waste of money.,negative,58,10
563,Average quality. It works but I expected better for the price.,neutral,62,11
564,Absolute rubbish. Stopped working after one week.,negative,49,7
565,I was blown away by the special effects and the emotional depth of the story.,positive,77,15
566,I want my money back. This movie was absolutely dreadful.,negative,57,10
567,It was fine. Exactly what you would expect from this type of film.,neutral,66,13
568,Worst purchase ever. Cheap materials and poor craftsmanship.,negative,60,8
569,One of the best films I have seen in years. Highly recommend to everyone.,positive,73,14
570,Boring and predictable. I nearly fell asleep halfway through.,negative,61,9
571,A standard entry in the genre. Nothing to get excited about.,neutral,60,11
572,The characters were flat and the story was painfully slow.,negative,58,10
573,Not particularly memorable but not offensive either.,neutral,52,7
574,"Gets the job done. No more, no less.",neutral,36,8
575,Exactly what I needed. Works flawlessly. Very satisfied.,positive,56,8
576,A feel-good movie that left me smiling for days. Highly enjoyable.,positive,66,11
577,I was blown away by the special effects and the emotional depth of the story.,positive,77,15
578,The quality is acceptable. Met my basic requirements.,neutral,53,8
579,An emotional rollercoaster in the best possible way. Loved it!,positive,62,10
580,Do not buy this. It is a scam. The quality is shocking.,negative,55,12
581,Some interesting ideas that were not fully explored. Just okay.,neutral,63,10
582,"Not bad, not great. A mediocre experience overall.",neutral,50,8
583,The characters were so well developed. I felt every emotion with them.,positive,70,12
584,It was fine. Exactly what you would expect from this type of film.,neutral,66,13
585,This movie was absolutely fantastic! The acting was superb and the story kept me hooked.,positive,88,15
586,This film restored my faith in Hollywood. Simply outstanding.,positive,61,9
587,Some interesting ideas that were not fully explored. Just okay.,neutral,63,10
588,Nothing special but a passable way to spend an evening.,neutral,55,10
589,Exceptional storytelling with a message that really resonates.,positive,62,8
590,One of the most touching movies I have ever watched. Truly inspiring.,positive,69,12
591,Heartwarming and funny in equal measure. A perfect family film.,positive,63,10
592,Exceptional storytelling with a message that really resonates.,positive,62,8
593,It was watchable but I probably would not recommend it strongly.,neutral,64,11
594,It is alright. Middling quality but serves its purpose.,neutral,55,9
595,Terrible quality. Looks nothing like the photos. Very disappointed.,negative,67,9
596,This movie was absolutely fantastic! The acting was superb and the story kept me hooked.,positive,88,15
597,"Satisfactory purchase. Could have been better, could have been worse.",neutral,69,10
598,Exceptional storytelling with a message that really resonates.,positive,62,8
599,Cheap and nasty. Looks terrible in real life.,negative,45,8
600,Best purchase I have made this year. Highly recommend.,positive,54,9
601,Best purchase I have made this year. Highly recommend.,positive,54,9
602,The best movie of the year without a doubt. Stunning visuals.,positive,61,11
603,Functional and affordable. That is about all there is to say.,neutral,61,11
604,This film restored my faith in Hollywood. Simply outstanding.,positive,61,9
605,Average all round. A solid three-star experience.,neutral,49,7
606,The chemistry between the lead actors was electric. Very entertaining.,positive,70,10
607,"Wonderful script, great acting, and a story that stays with you long after.",positive,75,13
608,Outstanding customer service and a top-quality product.,positive,55,7
609,Appalling quality control. Would not recommend to anyone.,negative,57,8
610,Awful product. Broke after two days. Total waste of money.,negative,58,10
611,Absolute rubbish. Stopped working after one week.,negative,49,7
612,The acting was okay. The story was reasonably entertaining.,neutral,59,9
613,Boring and predictable. I nearly fell asleep halfway through.,negative,61,9
614,Absolute rubbish. Stopped working after one week.,negative,49,7
615,The product is okay. Does the job but nothing more.,neutral,51,10
616,Some interesting ideas that were not fully explored. Just okay.,neutral,63,10
617,Utterly forgettable and pointless. A waste of everyone's talent.,negative,64,9
618,Absolutely love this! It works perfectly and looks great.,positive,57,9
619,A middle-of-the-road film. Neither impressive nor terrible.,neutral,59,7
620,Awful product. Broke after two days. Total waste of money.,negative,58,10
621,Completely useless. Does not work as advertised. Avoid.,negative,55,8
622,This film exceeded all my expectations. Beautiful and moving.,positive,61,9
623,Outstanding customer service and a top-quality product.,positive,55,7
624,"An ordinary product. Nothing to complain about, nothing to rave about.",neutral,70,11
625,Awful acting and a storyline that went nowhere. Very disappointing.,negative,67,10
626,Boring and predictable. I nearly fell asleep halfway through.,negative,61,9
627,Incredible performance by the entire cast. Loved every minute of it.,positive,68,11
628,An emotional rollercoaster in the best possible way. Loved it!,positive,62,10
629,Brilliant from start to finish. The pacing was perfect.,positive,55,9
630,One of the worst films I have ever seen. Do not bother watching.,negative,64,13
631,Brilliant from start to finish. The pacing was perfect.,positive,55,9
632,Zero stars if I could. Dreadful product and even worse service.,negative,63,11
633,Utterly forgettable and pointless. A waste of everyone's talent.,negative,64,9
634,A feel-good movie that left me smiling for days. Highly enjoyable.,positive,66,11
635,"Wonderful script, great acting, and a story that stays with you long after.",positive,75,13
636,The worst movie I have seen in years. Completely unwatchable.,negative,61,10
637,"Gets the job done. No more, no less.",neutral,36,8
638,A feel-good movie that left me smiling for days. Highly enjoyable.,positive,66,11
639,An emotional rollercoaster in the best possible way. Loved it!,positive,62,10
640,A standard entry in the genre. Nothing to get excited about.,neutral,60,11
641,Awful acting and a storyline that went nowhere. Very disappointing.,negative,67,10
642,Cheap and nasty. Looks terrible in real life.,negative,45,8
643,Completely useless. Does not work as advertised. Avoid.,negative,55,8
644,This film exceeded all my expectations. Beautiful and moving.,positive,61,9
645,Absolute rubbish. Stopped working after one week.,negative,49,7
646,It was fine. Exactly what you would expect from this type of film.,neutral,66,13
647,Great product! Works exactly as described and arrived quickly.,positive,62,9
648,A standard entry in the genre. Nothing to get excited about.,neutral,60,11
649,"Not bad, not great. A mediocre experience overall.",neutral,50,8
650,This film exceeded all my expectations. Beautiful and moving.,positive,61,9
651,A standard entry in the genre. Nothing to get excited about.,neutral,60,11
652,Five stars all round. Fast shipping and perfect condition.,positive,58,9
653,Incredible performance by the entire cast. Loved every minute of it.,positive,68,11
654,Absolutely loved it! The plot twists were unexpected and thrilling.,positive,67,10
655,The acting was okay. The story was reasonably entertaining.,neutral,59,9
656,"Not bad, not great. A mediocre experience overall.",neutral,50,8
657,Amazing cinematography and a brilliant storyline. A must-watch!,positive,63,8
658,Appalling quality control. Would not recommend to anyone.,negative,57,8
659,A feel-good movie that left me smiling for days. Highly enjoyable.,positive,66,11
660,Zero stars if I could. Dreadful product and even worse service.,negative,63,11
661,Brilliant product. Does exactly what it says on the tin.,positive,56,10
662,Arrived damaged and the company refused to help. Disgraceful service.,negative,69,10
663,"Wonderful script, great acting, and a story that stays with you long after.",positive,75,13
664,Super fast delivery and the item was even better than expected.,positive,63,11
665,The characters were so well developed. I felt every emotion with them.,positive,70,12
666,It was fine. Exactly what you would expect from this type of film.,neutral,66,13
667,Cheap and nasty. Looks terrible in real life.,negative,45,8
668,"An ordinary product. Nothing to complain about, nothing to rave about.",neutral,70,11
669,Great product! Works exactly as described and arrived quickly.,positive,62,9
670,A standard entry in the genre. Nothing to get excited about.,neutral,60,11
671,The quality is amazing for the price. Very impressed.,positive,53,9
672,An emotional rollercoaster in the best possible way. Loved it!,positive,62,10
673,Five stars all round. Fast shipping and perfect condition.,positive,58,9
674,Nothing made sense in this film. Very frustrating to watch.,negative,59,10
675,"Excellent quality, very happy with my purchase. Will buy again.",positive,63,10
676,Completely useless. Does not work as advertised. Avoid.,negative,55,8
677,Absolutely love this! It works perfectly and looks great.,positive,57,9
678,The acting was okay. The story was reasonably entertaining.,neutral,59,9
679,This film restored my faith in Hollywood. Simply outstanding.,positive,61,9
680,Amazing cinematography and a brilliant storyline. A must-watch!,positive,63,8
681,The acting was okay. The story was reasonably entertaining.,neutral,59,9
682,Super fast delivery and the item was even better than expected.,positive,63,11
683,Poorly written and badly directed. A total mess.,negative,48,8
684,Some good moments but overall just average.,neutral,43,7
685,I was bored within the first 10 minutes. It never got better.,negative,61,12
686,Cheap and nasty. Looks terrible in real life.,negative,45,8
687,A complete disaster from beginning to end. Hugely disappointing.,negative,64,9
688,Appalling quality control. Would not recommend to anyone.,negative,57,8
689,I was bored within the first 10 minutes. It never got better.,negative,61,12
690,The special effects were cheap and the dialogue was cringeworthy.,negative,65,10
691,A standard entry in the genre. Nothing to get excited about.,neutral,60,11
692,The quality is acceptable. Met my basic requirements.,neutral,53,8
693,Appalling quality control. Would not recommend to anyone.,negative,57,8
694,A standard entry in the genre. Nothing to get excited about.,neutral,60,11
695,Poorly written and badly directed. A total mess.,negative,48,8
696,Okay product. Not amazing but not terrible. Neutral feelings.,neutral,61,9
697,The quality is acceptable. Met my basic requirements.,neutral,53,8
698,Incredible performance by the entire cast. Loved every minute of it.,positive,68,11
699,Awful acting and a storyline that went nowhere. Very disappointing.,negative,67,10
700,Brilliant from start to finish. The pacing was perfect.,positive,55,9
701,One of the best films I have seen in years. Highly recommend to everyone.,positive,73,14
702,Returned immediately. Complete waste of money.,negative,46,6
703,Worst purchase ever. Cheap materials and poor craftsmanship.,negative,60,8
704,Not bad for the money. Neutral experience overall.,neutral,50,8
705,The special effects were cheap and the dialogue was cringeworthy.,negative,65,10
706,Absolutely loved it! The plot twists were unexpected and thrilling.,positive,67,10
707,Boring and predictable. I nearly fell asleep halfway through.,negative,61,9
708,Do not buy this. It is a scam. The quality is shocking.,negative,55,12
709,Completely useless. Does not work as advertised. Avoid.,negative,55,8
710,This film exceeded all my expectations. Beautiful and moving.,positive,61,9
711,This film exceeded all my expectations. Beautiful and moving.,positive,61,9
712,Exactly what I needed. Works flawlessly. Very satisfied.,positive,56,8
713,I want my money back. This movie was absolutely dreadful.,negative,57,10
714,"Excellent quality, very happy with my purchase. Will buy again.",positive,63,10
715,Not worth a single penny. Broke on first use.,negative,45,9
716,"Excellent quality, very happy with my purchase. Will buy again.",positive,63,10
717,"The movie was okay. Not great, but not terrible either.",neutral,55,10
718,Exactly what I needed. Works flawlessly. Very satisfied.,positive,56,8
719,"Terrible screenplay, wooden acting, and a plot full of holes.",negative,61,10
720,I was completely captivated from the opening scene to the final credits.,positive,72,12
721,A huge disappointment. The trailer was far more interesting than the film.,negative,74,12
722,The characters were so well developed. I felt every emotion with them.,positive,70,12
723,The acting was okay. The story was reasonably entertaining.,neutral,59,9
724,"Satisfactory purchase. Could have been better, could have been worse.",neutral,69,10
725,One of the worst films I have ever seen. Do not bother watching.,negative,64,13
726,Terrible movie. Waste of two hours. The plot made no sense at all.,negative,66,13
727,Reasonable product. Nothing special but does what it should.,neutral,60,9
728,It was watchable but I probably would not recommend it strongly.,neutral,64,11
729,"Satisfactory purchase. Could have been better, could have been worse.",neutral,69,10
730,"Not bad, not great. A mediocre experience overall.",neutral,50,8
731,"Not bad, not great. A mediocre experience overall.",neutral,50,8
732,Boring and predictable. I nearly fell asleep halfway through.,negative,61,9
733,Returned immediately. Complete waste of money.,negative,46,6
734,This film exceeded all my expectations. Beautiful and moving.,positive,61,9
735,Absolute rubbish. Stopped working after one week.,negative,49,7
736,Heartwarming and funny in equal measure. A perfect family film.,positive,63,10
737,Five stars all round. Fast shipping and perfect condition.,positive,58,9
738,Exceptional storytelling with a message that really resonates.,positive,62,8
739,I was bored within the first 10 minutes. It never got better.,negative,61,12
740,An emotional rollercoaster in the best possible way. Loved it!,positive,62,10
741,The acting was okay. The story was reasonably entertaining.,neutral,59,9
742,Decent enough. I have seen better but also much worse.,neutral,54,10
743,"An ordinary product. Nothing to complain about, nothing to rave about.",neutral,70,11
744,Dreadful. Painful to sit through. Avoid at all costs.,negative,53,9
745,A standard entry in the genre. Nothing to get excited about.,neutral,60,11
746,"An ordinary product. Nothing to complain about, nothing to rave about.",neutral,70,11
747,Outstanding customer service and a top-quality product.,positive,55,7
748,"Gets the job done. No more, no less.",neutral,36,8
749,Awful product. Broke after two days. Total waste of money.,negative,58,10
750,This film restored my faith in Hollywood. Simply outstanding.,positive,61,9
751,Completely useless. Does not work as advertised. Avoid.,negative,55,8
752,It is alright. Middling quality but serves its purpose.,neutral,55,9
753,Reasonable product. Nothing special but does what it should.,neutral,60,9
754,Dreadful. Painful to sit through. Avoid at all costs.,negative,53,9
755,It was watchable but I probably would not recommend it strongly.,neutral,64,11
756,Appalling quality control. Would not recommend to anyone.,negative,57,8
757,One of the worst films I have ever seen. Do not bother watching.,negative,64,13
758,Great product! Works exactly as described and arrived quickly.,positive,62,9
759,Dreadful. Painful to sit through. Avoid at all costs.,negative,53,9
760,A complete disaster from beginning to end. Hugely disappointing.,negative,64,9
761,Exactly what I needed. Works flawlessly. Very satisfied.,positive,56,8
762,Very poor quality. Fell apart immediately. Total disappointment.,negative,64,8
763,It was watchable but I probably would not recommend it strongly.,neutral,64,11
764,Cheap and nasty. Looks terrible in real life.,negative,45,8
765,Not particularly memorable but not offensive either.,neutral,52,7
766,Awful acting and a storyline that went nowhere. Very disappointing.,negative,67,10
767,It is alright. Middling quality but serves its purpose.,neutral,55,9
768,Not particularly memorable but not offensive either.,neutral,52,7
769,The characters were flat and the story was painfully slow.,negative,58,10
770,I want my money back. This movie was absolutely dreadful.,negative,57,10
771,Super fast delivery and the item was even better than expected.,positive,63,11
772,Cheap and nasty. Looks terrible in real life.,negative,45,8
773,One of the most touching movies I have ever watched. Truly inspiring.,positive,69,12
774,It was watchable but I probably would not recommend it strongly.,neutral,64,11
775,Average experience. Would not go out of my way to recommend.,neutral,60,11
776,Boring and predictable. I nearly fell asleep halfway through.,negative,61,9
777,"Satisfactory purchase. Could have been better, could have been worse.",neutral,69,10
778,"Excellent quality, very happy with my purchase. Will buy again.",positive,63,10
779,One of the best films I have seen in years. Highly recommend to everyone.,positive,73,14
780,It is alright. Middling quality but serves its purpose.,neutral,55,9
781,It was watchable but I probably would not recommend it strongly.,neutral,64,11
782,"Not bad, not great. A mediocre experience overall.",neutral,50,8
783,I was blown away by the special effects and the emotional depth of the story.,positive,77,15
784,Absolutely loved it! The plot twists were unexpected and thrilling.,positive,67,10
785,"Gets the job done. No more, no less.",neutral,36,8
786,Zero stars if I could. Dreadful product and even worse service.,negative,63,11
787,A complete disaster from beginning to end. Hugely disappointing.,negative,64,9
788,Average all round. A solid three-star experience.,neutral,49,7
789,"Gets the job done. No more, no less.",neutral,36,8
790,The special effects were cheap and the dialogue was cringeworthy.,negative,65,10
791,I was blown away by the special effects and the emotional depth of the story.,positive,77,15
792,Misleading description. The product is nothing like what was shown.,negative,67,10
793,An emotional rollercoaster in the best possible way. Loved it!,positive,62,10
794,Terrible quality. Looks nothing like the photos. Very disappointed.,negative,67,9
795,The chemistry between the lead actors was electric. Very entertaining.,positive,70,10
796,The plot was acceptable but the ending felt a bit rushed.,neutral,57,11
797,It is fine. Arrived on time and works as expected.,neutral,50,10
798,Decent enough. I have seen better but also much worse.,neutral,54,10
799,"Satisfactory purchase. Could have been better, could have been worse.",neutral,69,10
800,"An ordinary product. Nothing to complain about, nothing to rave about.",neutral,70,11
801,One of the best films I have seen in years. Highly recommend to everyone.,positive,73,14
802,Not worth a single penny. Broke on first use.,negative,45,9
803,"An ordinary product. Nothing to complain about, nothing to rave about.",neutral,70,11
804,Incredible performance by the entire cast. Loved every minute of it.,positive,68,11
805,Average quality. It works but I expected better for the price.,neutral,62,11
806,Awful acting and a storyline that went nowhere. Very disappointing.,negative,67,10
807,The chemistry between the lead actors was electric. Very entertaining.,positive,70,10
808,Does the job adequately. Nothing exceptional to report.,neutral,55,8
809,Brilliant product. Does exactly what it says on the tin.,positive,56,10
810,It is fine. Arrived on time and works as expected.,neutral,50,10
811,I want my money back. This movie was absolutely dreadful.,negative,57,10
812,The quality is amazing for the price. Very impressed.,positive,53,9
813,The quality is amazing for the price. Very impressed.,positive,53,9
814,An emotional rollercoaster in the best possible way. Loved it!,positive,62,10
815,Not bad for the money. Neutral experience overall.,neutral,50,8
816,The quality is acceptable. Met my basic requirements.,neutral,53,8
817,The best movie of the year without a doubt. Stunning visuals.,positive,61,11
818,Amazing cinematography and a brilliant storyline. A must-watch!,positive,63,8
819,The best movie of the year without a doubt. Stunning visuals.,positive,61,11
820,Functional and affordable. That is about all there is to say.,neutral,61,11
821,A masterpiece of modern cinema. The director did an outstanding job.,positive,68,11
822,"Not bad, not great. A mediocre experience overall.",neutral,50,8
823,The acting was okay. The story was reasonably entertaining.,neutral,59,9
824,The quality is amazing for the price. Very impressed.,positive,53,9
825,The plot was acceptable but the ending felt a bit rushed.,neutral,57,11
826,A masterpiece of modern cinema. The director did an outstanding job.,positive,68,11
827,A huge disappointment. The trailer was far more interesting than the film.,negative,74,12
828,The characters were so well developed. I felt every emotion with them.,positive,70,12
829,The characters were flat and the story was painfully slow.,negative,58,10
830,Does the job adequately. Nothing exceptional to report.,neutral,55,8
831,Amazing cinematography and a brilliant storyline. A must-watch!,positive,63,8
832,One of the worst films I have ever seen. Do not bother watching.,negative,64,13
833,Absolutely love this! It works perfectly and looks great.,positive,57,9
834,Absolutely love this! It works perfectly and looks great.,positive,57,9
835,Boring and predictable. I nearly fell asleep halfway through.,negative,61,9
836,Decent enough. I have seen better but also much worse.,neutral,54,10
837,Brilliant from start to finish. The pacing was perfect.,positive,55,9
838,Not particularly memorable but not offensive either.,neutral,52,7
839,Nothing special but a passable way to spend an evening.,neutral,55,10
840,Arrived damaged and the company refused to help. Disgraceful service.,negative,69,10
841,Absolute rubbish. Stopped working after one week.,negative,49,7
842,The characters were flat and the story was painfully slow.,negative,58,10
843,Brilliant product. Does exactly what it says on the tin.,positive,56,10
844,I was bored within the first 10 minutes. It never got better.,negative,61,12
845,I want my money back. This movie was absolutely dreadful.,negative,57,10
846,A masterpiece of modern cinema. The director did an outstanding job.,positive,68,11
847,Amazing cinematography and a brilliant storyline. A must-watch!,positive,63,8
848,The chemistry between the lead actors was electric. Very entertaining.,positive,70,10
849,Nothing made sense in this film. Very frustrating to watch.,negative,59,10
850,Exceptional storytelling with a message that really resonates.,positive,62,8
851,Awful acting and a storyline that went nowhere. Very disappointing.,negative,67,10
852,Average quality. It works but I expected better for the price.,neutral,62,11
853,Amazing cinematography and a brilliant storyline. A must-watch!,positive,63,8
854,Functional and affordable. That is about all there is to say.,neutral,61,11
855,It was watchable but I probably would not recommend it strongly.,neutral,64,11
856,Dreadful. Painful to sit through. Avoid at all costs.,negative,53,9
857,It is alright. Middling quality but serves its purpose.,neutral,55,9
858,I was bored within the first 10 minutes. It never got better.,negative,61,12
859,Super fast delivery and the item was even better than expected.,positive,63,11
860,Boring and predictable. I nearly fell asleep halfway through.,negative,61,9
861,Average all round. A solid three-star experience.,neutral,49,7
862,One of the best films I have seen in years. Highly recommend to everyone.,positive,73,14
863,A huge disappointment. The trailer was far more interesting than the film.,negative,74,12
864,Average quality. It works but I expected better for the price.,neutral,62,11
865,Amazing cinematography and a brilliant storyline. A must-watch!,positive,63,8
866,A middle-of-the-road film. Neither impressive nor terrible.,neutral,59,7
867,I want my money back. This movie was absolutely dreadful.,negative,57,10
868,Not particularly memorable but not offensive either.,neutral,52,7
869,Reasonable product. Nothing special but does what it should.,neutral,60,9
870,"Gets the job done. No more, no less.",neutral,36,8
871,Arrived damaged and the company refused to help. Disgraceful service.,negative,69,10
872,Returned immediately. Complete waste of money.,negative,46,6
873,Super fast delivery and the item was even better than expected.,positive,63,11
874,A huge disappointment. The trailer was far more interesting than the film.,negative,74,12
875,Poorly written and badly directed. A total mess.,negative,48,8
876,Super fast delivery and the item was even better than expected.,positive,63,11
877,This film restored my faith in Hollywood. Simply outstanding.,positive,61,9
878,Terrible quality. Looks nothing like the photos. Very disappointed.,negative,67,9
879,I was blown away by the special effects and the emotional depth of the story.,positive,77,15
880,A standard entry in the genre. Nothing to get excited about.,neutral,60,11
881,Reasonable product. Nothing special but does what it should.,neutral,60,9
882,Terrible quality. Looks nothing like the photos. Very disappointed.,negative,67,9
883,Not particularly memorable but not offensive either.,neutral,52,7
884,Average quality. It works but I expected better for the price.,neutral,62,11
885,Arrived damaged and the company refused to help. Disgraceful service.,negative,69,10
886,Awful product. Broke after two days. Total waste of money.,negative,58,10
887,Not bad for the money. Neutral experience overall.,neutral,50,8
888,"Gets the job done. No more, no less.",neutral,36,8
889,Zero stars if I could. Dreadful product and even worse service.,negative,63,11
890,Not bad for the money. Neutral experience overall.,neutral,50,8
891,Poorly written and badly directed. A total mess.,negative,48,8
892,I was bored within the first 10 minutes. It never got better.,negative,61,12
893,This film exceeded all my expectations. Beautiful and moving.,positive,61,9
894,Returned immediately. Complete waste of money.,negative,46,6
895,Appalling quality control. Would not recommend to anyone.,negative,57,8
896,Absolute rubbish. Stopped working after one week.,negative,49,7
897,The product is okay. Does the job but nothing more.,neutral,51,10
898,Nothing special but a passable way to spend an evening.,neutral,55,10
899,I was blown away by the special effects and the emotional depth of the story.,positive,77,15
